Tweets Follower_Engagement Connectedness Sentiment
1 0 -2.89168062623025 -2.11008118336807 Neutral
2 0 -1.7567736486247 -0.537689746299192 Neutral
3 0 -0.613300376577042 0.585025467401246 Neutral
4 1 -1.69643118147884 -0.456371247659246 Neutral
5 1 -0.263637946607825 -0.428162464404812 Neutral
6 0 0.188782944717197 -1.30372332192454 Neutral
7 0 -1.63906662112812 -0.704339851225645 Neutral
8 16 2.61875149006759 1.63707714685946 Positive
9 0 -1.41444746163432 0.735570979847444 Neutral
10 7 -0.00054902201864071 2.33603412829922 Negative
11 4 -0.583747097800298 1.6143030071083 Negative
12 2 1.18422024356923 -0.233443253958854 Neutral
13 5 -0.192531864869165 2.12588228918598 Negative
14 8 4.46734844392169 -0.381991833570338 Neutral
15 0 -0.455550849023928 -2.12867513432919 Neutral
16 1 -2.9308292674184 1.08014340064893 Neutral
17 2 -0.350661947021594 1.38555594940169 Positive
18 2 -2.39822360682322 2.20135730763676 Neutral
19 0 -0.426740892316702 -1.71864152351466 Neutral
20 0 -0.86509099152412 0.869418024288428 Neutral
21 1 -1.00654404987078 0.535330990939156 Neutral
22 2 0.0363952059692703 1.56591926456626 Neutral
23 0 1.5230670866704 -3.27524548777688 Neutral
24 1 -1.94916382607091 0.568880250658524 Positive
25 0 -1.3750963813144 0.538917265255119 Neutral
26 6 3.72369373287853 -1.19223267379659 Negative
27 1 -1.91568977087452 -0.885237554530461 Negative
28 2 -0.0140833127951144 2.07512449198204 Neutral
29 0 -0.574118667231812 -2.71715181477828 Neutral
30 10 3.94401746234303 0.704488290548786 Neutral
31 0 -0.809009818785865 -0.875619281793984 Neutral
32 1 -1.36638181822379 1.7350780060777 Neutral
33 4 2.79527091510784 -0.526268821358431 Neutral
34 8 2.5777301755876 -0.364466211511474 Negative
35 0 -0.797182905223859 0.910365443184709 Neutral
36 1 -0.0934435613093663 1.27662965748187 Neutral
37 2 -0.597354739432999 1.52196441832558 Positive
38 2 3.06048852507147 -2.07685536459241 Positive
39 0 -1.38332351541484 -0.80086743894375 Neutral
40 4 3.45792573353373 -1.15933364275264 Neutral
41 8 3.110054368472 -0.298570120616127 Neutral
42 0 -0.882407406255117 1.03570992676845 Neutral
43 0 -0.632404727057221 -0.932244470649814 Neutral
44 0 -2.06896083166002 -0.962810490937459 Neutral
45 4 1.80069323720757 -1.93199482527376 Negative
46 0 -0.116091082070112 -0.91952249507743 Neutral
47 0 -1.13280528711782 -0.662553291127276 Neutral
48 0 -0.8169103917334 0.458479204692761 Neutral
49 0 2.3413110253705 -2.35153305711591 Neutral
50 5 0.176036771543909 0.0955555936249237 Negative
51 2 3.57008689309456 -0.706832915560376 Neutral
52 3 -0.493598865621229 1.91672736266136 Neutral
53 0 -2.73599483973477 -1.73901730038674 Neutral
